primary_industry;secteur;sous_secteur
Specialty Stores;Consumer Staples;Consumer Staples Distribution, Retail and household products
Electrical Components and Equipment;Industrials, capital goods;Electrical Equipment
Heavy Electrical Equipment;Industrials, capital goods;Electrical Equipment
Coal and Consumable Fuels;Energy;Energy
Integrated Oil and Gas;Energy;Energy
Oil and Gas Drilling;Energy;Energy
Oil and Gas Equipment and Services;Energy;Energy
Oil and Gas Exploration and Production;Energy;Energy
Oil and Gas Refining and Marketing;Energy;Energy
Oil and Gas Storage and Transportation;Energy;Energy
Diversified REITs;Real Estate;Real Estate
Industrial REITs;Real Estate;Real Estate
Office REITs;Real Estate;Real Estate
Retail REITs;Real Estate;Real Estate
Asset Management and Custody Banks;Financials;Financial Services
Consumer Finance;Financials;Financial Services
Diversified Capital Markets;Financials;Financial Services
Financial Exchanges and Data;Financials;Financial Services
Investment Banking and Brokerage;Financials;Financial Services
Mortgage REITs;Financials;Financial Services
Multi-Sector Holdings;Financials;Financial Services
Other Diversified Financial Services;Financials;Financial Services
Specialized Finance;Financials;Financial Services
Thrifts and Mortgage Finance;Financials;Financial Services
Agricultural Products;Consumer Staples;Food, Beverage and Tobacco
Brewers;Consumer Staples;Food, Beverage and Tobacco
Distillers and Vintners;Consumer Staples;Food, Beverage and Tobacco
Packaged Foods and Meats;Consumer Staples;Food, Beverage and Tobacco
Soft Drinks;Consumer Staples;Food, Beverage and Tobacco
Tobacco;Consumer Staples;Food, Beverage and Tobacco
Health Care Distributors;Health Care;Health Care Equipment and Services
Health Care Equipment;Health Care;Health Care Equipment and Services
Health Care Facilities;Health Care;Health Care Equipment and Services
Health Care Services;Health Care;Health Care Equipment and Services
Health Care Supplies;Health Care;Health Care Equipment and Services
Health Care Technology;Health Care;Health Care Equipment and Services
Managed Health Care;Health Care;Health Care Equipment and Services
Household Products;Consumer Staples;Consumer Staples Distribution, Retail and household products
Personal Products;Consumer Staples;Consumer Staples Distribution, Retail and household products
Insurance Brokers;Financials;Insurance
Life and Health Insurance;Financials;Insurance
Multi-line Insurance;Financials;Insurance
Property and Casualty Insurance;Financials;Insurance
Reinsurance;Financials;Insurance
Agricultural and Farm Machinery;Industrials, capital goods;Machinery
Construction Machinery and Heavy Trucks;Industrials, capital goods;Machinery
Industrial Machinery;Industrials, capital goods;Machinery
Aluminum;Materials;Metal, Mining and Construction Materials
Commodity Chemicals;Materials;Chemicals
Construction Materials;Materials;Metal, Mining and Construction Materials
Copper;Materials;Metal, Mining and Construction Materials
Diversified Chemicals;Materials;Chemicals
Diversified Metals and Mining;Materials;Metal, Mining and Construction Materials
Fertilizers and Agricultural Chemicals;Materials;Chemicals
Forest Products;Materials;Containers, Packaging, Paper and Forest Products
Gold;Materials;Metal, Mining and Construction Materials
Industrial Gases;Materials;Chemicals
Metal and Glass Containers;Materials;Containers, Packaging, Paper and Forest Products
Paper Packaging;Materials;Containers, Packaging, Paper and Forest Products
Paper Products;Materials;Containers, Packaging, Paper and Forest Products
Precious Metals and Minerals;Materials;Metal, Mining and Construction Materials
Silver;Materials;Metal, Mining and Construction Materials
Specialty Chemicals;Materials;Chemicals
Steel;Materials;Metal, Mining and Construction Materials
Advertising;Communication Services;Media and Entertainment
Broadcasting;Communication Services;Media and Entertainment
Cable and Satellite;Communication Services;Media and Entertainment
Interactive Home Entertainment;Communication Services;Media and Entertainment
Interactive Media and Services;Communication Services;Media and Entertainment
Movies and Entertainment;Communication Services;Media and Entertainment
Publishing;Communication Services;Media and Entertainment
Biotechnology;Health Care;Pharmaceuticals, Biotechnology and Life Sciences
Life Sciences Tools and Services;Health Care;Pharmaceuticals, Biotechnology and Life Sciences
Pharmaceuticals;Health Care;Pharmaceuticals, Biotechnology and Life Sciences
Diversified Real Estate Activities;Real Estate;Real Estate
Real Estate Development;Real Estate;Real Estate
Real Estate Operating Companies;Real Estate;Real Estate
Real Estate Services;Real Estate;Real Estate
Semiconductor Equipment;Information Technology;Semiconductors and Semiconductor Equipment
Semiconductors;Information Technology;Semiconductors and Semiconductor Equipment
Application Software;Information Technology;Software and Services
Internet Services and Infrastructure;Information Technology;Software and Services
IT Consulting and Other Services;Information Technology;Software and Services
Systems Software;Information Technology;Software and Services
Communications Equipment;Information Technology;Technology Hardware and Equipment
Electronic Components;Information Technology;Technology Hardware and Equipment
Electronic Equipment and Instruments;Information Technology;Technology Hardware and Equipment
Electronic Manufacturing Services;Information Technology;Technology Hardware and Equipment
Technology Distributors;Information Technology;Technology Hardware and Equipment
Technology Hardware, Storage and Peripherals;Information Technology;Technology Hardware and Equipment
Alternative Carriers;Communication Services;Telecommunication Services
Integrated Telecommunication Services;Communication Services;Telecommunication Services
Wireless Telecommunication Services;Communication Services;Telecommunication Services
Industrial Conglomerates;Industrials, capital goods;Trading Companies, Distributors and Conglomerates
Trading Companies and Distributors;Industrials, capital goods;Trading Companies, Distributors and Conglomerates
Air Freight and Logistics;Industrials, commercial and transportation;Transportation
Airlines;Industrials, commercial and transportation;Transportation
Airport Services;Industrials, commercial and transportation;Transportation
Highways and Railtracks;Industrials, commercial and transportation;Transportation
Marine;Industrials, commercial and transportation;Transportation
Marine Ports and Services;Industrials, commercial and transportation;Transportation
Railroads;Industrials, commercial and transportation;Transportation
Trucking;Industrials, commercial and transportation;Transportation
Electric Utilities;Utilities;Utilities
Gas Utilities;Utilities;Utilities
Independent Power Producers and Energy Traders;Utilities;Utilities
Multi-Utilities;Utilities;Utilities
Renewable Electricity;Utilities;Utilities
Water Utilities;Utilities;Utilities
